钢种索引,厚度索引,协议标准,1-10流量,1-10水比,11-16流量,11-16水比,17-22流量,17-22水比,速度,加速度,通过道次,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22
xx,31,,120,2,100,2.1,100,2.1,1,0.0001,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xxx,20,,120,2,100,2.1,100,2.1,1,0.0001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,0,1,200,2.5,200,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,3,,0,1,200,2.5,200,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,4,,0,1,200,2.5,200,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,5,,0,1,200,2.5,200,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,6,,0,1,200,2.5,200,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,7,,0,1,200,2.5,200,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,8,,0,1,200,2.5,200,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,9,,0,1,200,2.5,200,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,10,,0,1,200,2.5,200,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,11,,0,1,200,2.5,200,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,12,,0,1,200,2.5,200,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,13,,0,1,200,2.5,200,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,14,,0,1,200,2.5,200,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,15,,0,1,200,2.5,200,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,0,1,120,2,120,2,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2,2,,0,1,120,2,120,2,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
2,3,,0,1,150,2,150,2,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1
2,4,,0,1,160,2,160,2,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1
2,5,,0,1,160,2.15,160,2.15,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1
2,6,,0,1,160,2.1,160,2.1,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2,7,,0,1,160,2.3,160,2.3,1.3,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
2,8,,0,1,160,2.2,160,2.2,1.2,0.015,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
2,9,,0,1,160,2.3,160,2.3,1.15,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
2,10,,0,1,180,2.3,180,2.3,1.1,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1
2,11,,0,1,220,2.3,220,2.3,1.1,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1
2,12,,0,1,220,2.3,220,2.3,1,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1
2,13,,0,1,220,2.3,220,2.3,0.8,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
2,14,,0,1,220,2.3,220,2.3,0.7,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,0,1,160,2.48,160,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2,,0,1,180,2.48,180,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,3,,0,1,180,2.48,180,2.48,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,0,1,120,2,120,2,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
4,2,,0,1,120,2,120,2,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
4,3,,0,1,150,2,150,2,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1
4,4,,0,1,160,2,160,2,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1
4,5,,0,1,160,2.15,160,2.15,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1
4,6,,0,1,160,2.1,160,2.1,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
4,7,,0,1,160,2.3,160,2.3,1.3,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
4,8,,0,1,160,2.2,160,2.2,1.2,0.015,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
4,9,,0,1,160,2.3,160,2.3,1.15,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
4,10,,0,1,180,2.3,180,2.3,1.1,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1
4,11,,0,1,220,2.3,220,2.3,1.1,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1
4,12,,0,1,220,2.3,220,2.3,1,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1
4,13,,0,1,220,2.3,220,2.3,0.8,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
4,14,,0,1,220,2.3,220,2.3,0.7,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,0,1,120,2,120,2,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
6,2,,0,1,120,2,120,2,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
6,3,,0,1,150,2,150,2,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1
6,4,,0,1,160,2,160,2,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1
6,5,,0,1,160,2.15,160,2.15,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1
6,6,,0,1,160,2.1,160,2.1,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
6,7,,0,1,160,2.3,160,2.3,1.3,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
6,8,,0,1,160,2.2,160,2.2,1.2,0.015,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
6,9,,0,1,160,2.3,160,2.3,1.15,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
6,10,,0,1,180,2.3,180,2.3,1.1,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1
6,11,,0,1,220,2.3,220,2.3,1.1,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1
6,12,,0,1,220,2.3,220,2.3,1,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1
6,13,,0,1,220,2.3,220,2.3,0.8,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
6,14,,0,1,220,2.3,220,2.3,0.7,0.01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,0,1,200,2.5,200,2.48,1.5,0.001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2,,0,1,200,2.5,200,2.48,1.5,0.001,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,3,,0,1,200,2.5,200,2.48,1.5,0.001,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,4,,0,1,200,2.5,200,2.48,1.5,0.001,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,5,,0,1,200,2.5,200,2.48,1.5,0.001,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,6,,0,1,200,2.5,200,2.48,1.5,0.001,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,7,,0,1,200,2.5,200,2.48,1.5,0.001,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,8,,0,1,200,2.5,200,2.48,1.5,0.001,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,9,,0,1,200,2.5,200,2.48,1.5,0.001,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,10,,0,1,200,2.5,200,2.48,1.5,0.001,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,11,,0,1,200,2.5,200,2.48,1.5,0.001,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,12,,0,1,200,2.5,200,2.48,1.5,0.001,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,13,,0,1,200,2.5,200,2.48,1.5,0.001,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,14,,0,1,200,2.5,200,2.48,1.5,0.001,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,15,,0,1,200,2.5,200,2.48,1.5,0.001,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
