厚度,长度,钢种,ACC头上遮蔽长度/mm,ACC头上遮蔽系数,头上遮蔽提前时间,ACC头下遮蔽长度/mm,ACC头下遮蔽系数,头下遮蔽提前时间,ACC尾上遮蔽长度/mm,ACC尾上遮蔽系数,尾上遮蔽提前时间,ACC尾下遮蔽长度/mm,ACC尾下遮蔽系数,尾下遮蔽提前时间
1,2,0,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
2,2,0,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
3,2,0,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
4,2,0,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
5,2,0,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
6,2,0,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
7,2,0,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
8,2,0,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
9,2,0,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
10,2,0,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
11,2,0,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
12,2,0,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
13,2,0,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
14,2,0,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
15,2,0,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
1,2,1,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
2,2,1,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
3,2,1,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
4,2,1,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
5,2,1,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
6,2,1,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
7,2,1,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
8,2,1,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
9,2,1,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
10,2,1,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
11,2,1,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
12,2,1,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
13,2,1,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
14,2,1,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
15,2,1,1000,0.9,2,1000,0.9,2,1000,0.9,2,1000,0.9,2
